NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
AK ADAK NAS        ,PADK,ADK,70454,51.53N,176.39W,4,US
AK AKHIOK          ,PAKH,AKK,     ,56.56N,154.11W,14,US
AK AKUTAN          ,PAUT,   ,     ,54.09N,165.36W,25,US
AK AMBLER          ,PAFM,AFM,     ,67.06N,157.51W,88,US
AK ANAKTUVUK PASS  ,PAKP,AKP,     ,68.08N,151.44W,642,US
AK ANCHORAGE INTL  ,PANC,ANC,70273,61.10N,150.01W,38,US
AK ANCHORAGE/WFO   ,PAFC,AFC,     ,61.10N,150.02W,48,US
AK ANCHORAG/NIKISKI,PAHG,AHG,     ,60.44N,151.21W,74,US
AK ANCHORAGE/LAKE H,PALH,LHD,     ,61.11N,149.58W,22,US
AK ANCHORAGE/ARTCC ,PZAN,ZAN,     ,61.10N,149.59W,22,US
AK ANCHORAGE/MERRIL,PAMR,MRI,     ,61.13N,149.51W,41,US
AK ANGOON SEAPLANE ,PAGN,   ,     ,57.30N,134.35W,2,US
AK ANIAK           ,PANI,ANI,70232,61.35N,159.32W,26,US
AK ANNETTE ISLAND  ,PANT,ANN,70398,55.02N,131.34W,36,US
AK ANVIK           ,PANV,ANV,     ,62.39N,160.11W,99,US
AK ARCTIC VILLAGE  ,PARC,ARC,     ,68.07N,145.35W,636,US
AK ATQASUK BURNELL ,PATQ,ATK,     ,70.28N,157.26W,29,US
AK ATKA            ,PAAK,AKA,     ,52.13N,174.12W,17,US
AK BARROW          ,PABR,BRW,70026,71.17N,156.48W,7,US
AK BARROW ARM-NSA  ,    ,   ,70027,71.19N,156.37W,7,US
AK BARTER ISLAND   ,PABA,BTI,70086,70.08N,143.35W,2,US
AK BETHEL          ,PABE,BET,70219,60.47N,161.51W,41,US
AK BETHEL/88D      ,PABC,ABC,     ,60.48N,161.53W,49,US
AK BETTLES         ,PABT,BTT,70174,66.55N,151.31W,195,US
AK BIG RIVER LAKES ,PALV,LVR,     ,60.49N,152.18W,12,US
AK BIRCHWOOD       ,PABV,BCV,     ,61.25N,149.31W,29,US
AK BREVIG_MISSION  ,PFKT,   ,     ,65.20N,166.28W,9,US
AK BUCKLAND        ,PABL,BVK,     ,65.59N,161.09W,7,US
AK CANTWELL        ,PATW,TTW,     ,63.23N,148.57W,668,US
AK CAPE LISBURNE   ,PALU,LUR,70104,68.53N,166.08W,3,US
AK CAPE NEWENHAM   ,PAEH,EHM,70305,58.39N,162.04W,161,US
AK CAPE ROMANZOF   ,PACZ,CZF,70212,61.47N,166.02W,146,US
AK CENTRAL         ,PARL,   ,     ,65.34N,144.47W,284,US
AK CENTRAL         ,PACE,   ,     ,65.34N,144.47W,286,US
AK CENTRAL AK PROF ,    ,CEN,70197,65.30N,144.41W,259,US
AK CHANDALAR LAKE  ,PALR,WCR,     ,67.30N,148.29W,585,US
AK CHEVAK          ,PAVA,   ,     ,61.32N,165.36W,23,US
AK CHIGNIK BAY     ,PAJC,AJC,     ,56.19N,158.22W,15,US
AK CIRCLE/PAFC RFC ,PACR,CRC,     ,65.50N,144.04W,182,US
AK CLARKS POINT    ,PFCL,CLP,     ,58.50N,158.32W,24,US
AK COLD BAY        ,PACD,CDB,70316,55.12N,162.43W,30,US
AK CORDOVA         ,PACV,CDV,70296,60.30N,145.30W,12,US
AK DEADHORSE       ,PASC,SCC,     ,70.12N,148.28W,15,US
AK DEERING         ,PADE,DEE,     ,66.04N,162.46W,5,US
AK DELTA JUNCTION  ,PABI,BIG,70267,64.00N,145.44W,386,US
AK DILLINGHAM      ,PADL,DLG,70321,59.03N,158.31W,26,US
AK EAGLE           ,PAEG,EAA,     ,64.47N,141.09W,268,US
AK EARECKSON/SHEMYA,PASY,SYA,70414,52.43N,174.07E,31,US
AK EGEGIK          ,PAII,EII,     ,58.11N,157.23W,30,US
AK EIELSON AFB     ,PAEI,EIL,70265,64.40N,147.06W,167,US
AK ELFIN COVE      ,PAEL,ELV,     ,58.12N,136.21W,3,US
